"STATION_NUMBER","Date","Parameter","Value","Symbol"
"04LG004",1983-01-01,"Flow",320,"B"
"04LG004",1983-01-02,"Flow",280,"B"
"04LG004",1983-01-03,"Flow",250,"B"
"04LG004",1983-01-04,"Flow",290,"B"
"04LG004",1983-01-05,"Flow",287,"B"
"04LG004",1983-01-06,"Flow",287,"B"
"04LG004",1983-01-07,"Flow",276,"B"
"04LG004",1983-01-08,"Flow",260,"B"
"04LG004",1983-01-09,"Flow",312,"B"
"04LG004",1983-01-10,"Flow",280,"B"
"04LG004",1983-01-11,"Flow",270,"B"
"04LG004",1983-01-12,"Flow",270,"B"
"04LG004",1983-01-13,"Flow",270,"B"
"04LG004",1983-01-14,"Flow",268,"B"
"04LG004",1983-01-15,"Flow",271,"B"
"04LG004",1983-01-16,"Flow",260,"B"
"04LG004",1983-01-17,"Flow",263,"B"
"04LG004",1983-01-18,"Flow",260,"B"
"04LG004",1983-01-19,"Flow",263,"B"
"04LG004",1983-01-20,"Flow",212,"B"
"04LG004",1983-01-21,"Flow",220,"B"
"04LG004",1983-01-22,"Flow",230,"B"
"04LG004",1983-01-23,"Flow",212,"B"
"04LG004",1983-01-24,"Flow",218,"B"
"04LG004",1983-01-25,"Flow",210,"B"
"04LG004",1983-01-26,"Flow",202,"B"
"04LG004",1983-01-27,"Flow",225,"B"
"04LG004",1983-01-28,"Flow",209,"B"
"04LG004",1983-01-29,"Flow",240,"B"
"04LG004",1983-01-30,"Flow",250,"B"
"04LG004",1983-01-31,"Flow",175,"B"
"04LG004",1983-02-01,"Flow",227,"B"
"04LG004",1983-02-02,"Flow",210,"B"
"04LG004",1983-02-03,"Flow",202,"B"
"04LG004",1983-02-04,"Flow",235,"B"
"04LG004",1983-02-05,"Flow",250,"B"
"04LG004",1983-02-06,"Flow",249,"B"
"04LG004",1983-02-07,"Flow",248,"B"
"04LG004",1983-02-08,"Flow",215,"B"
"04LG004",1983-02-09,"Flow",192,"B"
"04LG004",1983-02-10,"Flow",199,"B"
"04LG004",1983-02-11,"Flow",202,"B"
"04LG004",1983-02-12,"Flow",200,"B"
"04LG004",1983-02-13,"Flow",198,"B"
"04LG004",1983-02-14,"Flow",190,"B"
"04LG004",1983-02-15,"Flow",195,"B"
"04LG004",1983-02-16,"Flow",209,"B"
"04LG004",1983-02-17,"Flow",188,"B"
"04LG004",1983-02-18,"Flow",218,"B"
"04LG004",1983-02-19,"Flow",202,"B"
"04LG004",1983-02-20,"Flow",198,"B"
"04LG004",1983-02-21,"Flow",194,"B"
"04LG004",1983-02-22,"Flow",183,"B"
"04LG004",1983-02-23,"Flow",188,"B"
"04LG004",1983-02-24,"Flow",198,"B"
"04LG004",1983-02-25,"Flow",203,"B"
"04LG004",1983-02-26,"Flow",200,"B"
"04LG004",1983-02-27,"Flow",201,"B"
"04LG004",1983-02-28,"Flow",202,"B"
"04LG004",1983-03-01,"Flow",193,"B"
"04LG004",1983-03-02,"Flow",201,"B"
"04LG004",1983-03-03,"Flow",213,"B"
"04LG004",1983-03-04,"Flow",250,"B"
"04LG004",1983-03-05,"Flow",257,"B"
"04LG004",1983-03-06,"Flow",248,"B"
"04LG004",1983-03-07,"Flow",253,"B"
"04LG004",1983-03-08,"Flow",261,"B"
"04LG004",1983-03-09,"Flow",260,"B"
"04LG004",1983-03-10,"Flow",270,"B"
"04LG004",1983-03-11,"Flow",252,"B"
"04LG004",1983-03-12,"Flow",280,"B"
"04LG004",1983-03-13,"Flow",270,"B"
"04LG004",1983-03-14,"Flow",260,"B"
"04LG004",1983-03-15,"Flow",215,"B"
"04LG004",1983-03-16,"Flow",280,"B"
"04LG004",1983-03-17,"Flow",295,"B"
"04LG004",1983-03-18,"Flow",310,"B"
"04LG004",1983-03-19,"Flow",340,"B"
"04LG004",1983-03-20,"Flow",340,"B"
"04LG004",1983-03-21,"Flow",338,"B"
"04LG004",1983-03-22,"Flow",330,"B"
"04LG004",1983-03-23,"Flow",320,"B"
"04LG004",1983-03-24,"Flow",330,"B"
"04LG004",1983-03-25,"Flow",310,"B"
"04LG004",1983-03-26,"Flow",310,"B"
"04LG004",1983-03-27,"Flow",320,"B"
"04LG004",1983-03-28,"Flow",330,"B"
"04LG004",1983-03-29,"Flow",330,"B"
"04LG004",1983-03-30,"Flow",328,"B"
"04LG004",1983-03-31,"Flow",315,"B"
"04LG004",1983-04-01,"Flow",285,"B"
"04LG004",1983-04-02,"Flow",300,"B"
"04LG004",1983-04-03,"Flow",310,"B"
"04LG004",1983-04-04,"Flow",310,"B"
"04LG004",1983-04-05,"Flow",309,"B"
"04LG004",1983-04-06,"Flow",305,"B"
"04LG004",1983-04-07,"Flow",300,"B"
"04LG004",1983-04-08,"Flow",300,"B"
"04LG004",1983-04-09,"Flow",300,"B"
"04LG004",1983-04-10,"Flow",365,"B"
"04LG004",1983-04-11,"Flow",505,"B"
"04LG004",1983-04-12,"Flow",430,"B"
"04LG004",1983-04-13,"Flow",265,"B"
"04LG004",1983-04-14,"Flow",265,"B"
"04LG004",1983-04-15,"Flow",268,"B"
"04LG004",1983-04-16,"Flow",330,"B"
"04LG004",1983-04-17,"Flow",390,"B"
"04LG004",1983-04-18,"Flow",450,"B"
"04LG004",1983-04-19,"Flow",510,"B"
"04LG004",1983-04-20,"Flow",570,"B"
"04LG004",1983-04-21,"Flow",680,"B"
"04LG004",1983-04-22,"Flow",630,"B"
"04LG004",1983-04-23,"Flow",650,"B"
"04LG004",1983-04-24,"Flow",690,"B"
"04LG004",1983-04-25,"Flow",700,"B"
"04LG004",1983-04-26,"Flow",655,"B"
"04LG004",1983-04-27,"Flow",740,"B"
"04LG004",1983-04-28,"Flow",870,"B"
"04LG004",1983-04-29,"Flow",1200,"B"
"04LG004",1983-04-30,"Flow",1900,"B"
"04LG004",1983-05-01,"Flow",3500,"B"
"04LG004",1983-05-02,"Flow",5800,"B"
"04LG004",1983-05-03,"Flow",6650,"E"
"04LG004",1983-05-04,"Flow",6600,"E"
"04LG004",1983-05-05,"Flow",6250,"E"
"04LG004",1983-05-06,"Flow",5950,"E"
"04LG004",1983-05-07,"Flow",5500,"E"
"04LG004",1983-05-08,"Flow",5100,"E"
"04LG004",1983-05-09,"Flow",4650,"E"
"04LG004",1983-05-10,"Flow",4300,"E"
"04LG004",1983-05-11,"Flow",4000,"E"
"04LG004",1983-05-12,"Flow",3800,"E"
"04LG004",1983-05-13,"Flow",4100,"E"
"04LG004",1983-05-14,"Flow",4400,"E"
"04LG004",1983-05-15,"Flow",4700,"E"
"04LG004",1983-05-16,"Flow",4950,"E"
"04LG004",1983-05-17,"Flow",4400,"E"
"04LG004",1983-05-18,"Flow",4050,"E"
"04LG004",1983-05-19,"Flow",3730,NA
"04LG004",1983-05-20,"Flow",3430,NA
"04LG004",1983-05-21,"Flow",3260,NA
"04LG004",1983-05-22,"Flow",3280,NA
"04LG004",1983-05-23,"Flow",3280,NA
"04LG004",1983-05-24,"Flow",3850,"E"
"04LG004",1983-05-25,"Flow",4600,"E"
"04LG004",1983-05-26,"Flow",5100,"E"
"04LG004",1983-05-27,"Flow",5250,"E"
"04LG004",1983-05-28,"Flow",5000,"E"
"04LG004",1983-05-29,"Flow",4750,"E"
"04LG004",1983-05-30,"Flow",4600,"E"
"04LG004",1983-05-31,"Flow",4200,"E"
"04LG004",1983-06-01,"Flow",4300,"E"
"04LG004",1983-06-02,"Flow",4250,"E"
"04LG004",1983-06-03,"Flow",4200,"E"
"04LG004",1983-06-04,"Flow",4000,"E"
"04LG004",1983-06-05,"Flow",3650,"E"
"04LG004",1983-06-06,"Flow",3400,"E"
"04LG004",1983-06-07,"Flow",3150,"E"
"04LG004",1983-06-08,"Flow",2950,"E"
"04LG004",1983-06-09,"Flow",2750,"E"
"04LG004",1983-06-10,"Flow",2550,"E"
"04LG004",1983-06-11,"Flow",2450,"E"
"04LG004",1983-06-12,"Flow",2350,"E"
"04LG004",1983-06-13,"Flow",2250,"E"
"04LG004",1983-06-14,"Flow",2200,"E"
"04LG004",1983-06-15,"Flow",2050,"E"
"04LG004",1983-06-16,"Flow",1800,"E"
"04LG004",1983-06-17,"Flow",1570,"E"
"04LG004",1983-06-18,"Flow",1580,"E"
"04LG004",1983-06-19,"Flow",1440,"E"
"04LG004",1983-06-20,"Flow",1330,"E"
"04LG004",1983-06-21,"Flow",1230,"E"
"04LG004",1983-06-22,"Flow",1000,"E"
"04LG004",1983-06-23,"Flow",940,"E"
"04LG004",1983-06-24,"Flow",880,"E"
"04LG004",1983-06-25,"Flow",850,"E"
"04LG004",1983-06-26,"Flow",830,"E"
"04LG004",1983-06-27,"Flow",810,"E"
"04LG004",1983-06-28,"Flow",790,"E"
